Chapter,Chapter_Name,Section,Section_Name,Items,Actual_Cost
21,Appliances,18,Vacuum Pumps for Erectile Dysfunction,15,1241
21,Appliances,19,Oral Film Forming Agents,52,1462
21,Appliances,20,Venous Ulcer Compression System,109,5047
21,Appliances,21,Dry Mouth Products,469,2817
21,Appliances,22,Emollients,10056,53277
21,Appliances,23,Vaginal Moisturisers,823,6545
21,Appliances,24,Nasal Products,875,2658
21,Appliances,25,Vaginal Dilators,11,332
21,Appliances,27,Lymphoedema Garments,469,20290
21,Appliances,28,Anal Irrigation System,276,45280
21,Appliances,29,Plantar Pressure Offloading Device,33,770
21,Appliances,30,Eye Products,7306,59790
21,Appliances,32,Inhalation Solutions,92,2745
21,Appliances,33,Indwelling Pleural Cath Drain System,27,4482
21,Appliances,34,Vaginal PH Correction Products,45,302
21,Appliances,36,Adhesive Dressing Remover Ster Silicone,5,100
21,Appliances,37,Pelvic Toning Devices,10,139
21,Appliances,38,Low Friction Products,92,2151
21,Appliances,41,Physical Debridement Device,100,4290
21,Appliances,42,Jaw Rehabilitation Device,5,253
21,Appliances,43,Micro-Enema - Sodium Citrate,10,108
22,Incontinence Appliances,2,Anal Plugs,12,914
22,Incontinence Appliances,5,Catheter Valves,414,6249
22,Incontinence Appliances,15,Faecal Collectors,6,226
22,Incontinence Appliances,30,Incontinence Sheaths,635,37070
22,Incontinence Appliances,40,Incontinence Sheath Fixing Strips & Adh,134,2155
22,Incontinence Appliances,50,Leg Bags,1928,57395
22,Incontinence Appliances,60,Night Drainage Bags,2172,29913
22,Incontinence Appliances,70,Suspensory Systems,12,605
22,Incontinence Appliances,80,Tubing And Accessories,632,7421
22,Incontinence Appliances,85,Insert For Female Stress Incont,3,91
22,Incontinence Appliances,90,Urinal Systems,77,4410
23,Stoma Appliances,5,Adhesive Discs/Rings/Pads/Plasters,636,18583
23,Stoma Appliances,10,Adhesive (Pastes/Sprays/Solutions),4,78
23,Stoma Appliances,15,Adhesive Removers (Sprays/Liquids/Wipes),2233,39865
23,Stoma Appliances,20,Bag Closures,15,140
23,Stoma Appliances,25,Bag Covers,27,598
23,Stoma Appliances,30,Belts,208,7211
23,Stoma Appliances,35,Colostomy Bags,619,119534
23,Stoma Appliances,45,Deodorants,445,4831
23,Stoma Appliances,46,Discharge Solidifying Agents,78,3211
23,Stoma Appliances,50,Filters/Bridges,11,177
23,Stoma Appliances,60,Ileostomy Bags,1518,184913
23,Stoma Appliances,70,Irrigation Washout Appliances,46,1425
23,Stoma Appliances,75,Pressure Plates/Shields,5,54
23,Stoma Appliances,80,Skin Fillers And Protectives,10474,121501
23,Stoma Appliances,85,Skin Protectors,652,37355
23,Stoma Appliances,90,Stoma Caps/Dressings,44,2398
23,Stoma Appliances,92,Tubing & Accessories,20,611
23,Stoma Appliances,94,Two Piece Ostomy Systems,655,55018
23,Stoma Appliances,96,Urostomy Bags,436,57661
